Chip Run Info;E:\Helene-Adam-Riz-96x96-270317\jordan file\ChipRun.bml;1362290083;96.96 (136x);GE 96x96 Fast PCR+Melt v2;ROX;EvaGreen;28/03/2017 14:02:44;00:31:21;BIOMARKHD267
Application Version;4.1.3
Application Build;20140305.1515
Export Type;Table Results
Quality Threshold;0,65
Baseline Correction Method;Linear (Derivative)
Ct Threshold Method;Auto (Global)


Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;Experiment Information;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;EvaGreen;User
Chamber;Sample;Sample;Sample;EvaGreen;EvaGreen;Ct;Ct;Ct;Ct;Ct;Tm;Tm;Tm;Defined
ID;Name;Type;rConc;Name;Type;Value;Calibrated rConc;Quality;Call;Threshold;In Range;Out Range;Peak Ratio;Comments
S91-A67;R- Mix 1/10;Standard;25;gene2;Test;13,9031738562665;18,1551609809869;1;Pass;0,0102099395112248;80,7685920470777;999;1;
S91-A96;R- Mix 1/10;Standard;25;normalizer2;Reference;16,1855746326122;20,6351260623797;1;Pass;0,0102099395112248;81,695996901738;999;1;
S91-A95;R- Mix 1/10;Standard;25;normalizer3;Reference;9,80438790984374;24,2567685257889;1;Pass;0,0102099395112248;79,9913901588938;999;1;
S91-A93;R- Mix 1/10;Standard;25;normalizer1bis;Reference;7,41501258175432;19,3526088907983;1;Pass;0,0102099395112248;80,0203464000388;999;1;
S91-A91;R- Mix 1/10;Standard;25;gene3;Test;13,7474521837665;26,7482449513942;1;Pass;0,0102099395112248;85,6781436410136;999;1;
S01-A01;J-N1R1;Unknown;250;normalizer1;Reference;4,64525734327503;126,28989569426;0,874283209876462;Pass;0,0102099395112248;80,1031029317341;999;1;
S01-A22;J-N1R1;Unknown;250;gene1;Test;6,35554752405189;10796,4943892974;1;Pass;0,0102099395112248;82,5795621278307;999;1;
S01-A29;J-N1R1;Unknown;250;gene4;Test;18,3182551822777;3,90032343930121;0,968348122751928;Pass;0,0102099395112248;77,3165418835178;999;1;
S01-A67;J-N1R1;Unknown;250;gene2;Test;10,7293981301169;131,049498512913;1;Pass;0,0102099395112248;80,8081148256261;999;1;
S01-A96;J-N1R1;Unknown;250;normalizer2;Reference;12,2528682281513;164,497651461978;1;Pass;0,0102099395112248;82,0250974691473;999;1;
S01-A95;J-N1R1;Unknown;250;normalizer3;Reference;7,35965222568334;115,816263520388;1;Pass;0,0102099395112248;80,0393007179995;999;1;
S01-A93;J-N1R1;Unknown;250;normalizer1bis;Reference;4,40349316628038;152,427369520798;0,778186154868792;Pass;0,0102099395112248;80,0887517236436;999;1;
